"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2019","104,154,000","107,505,000","107,849,000","103,300,000","0.44K","-3.43%"
"Nov 30, 2019","107,848,000","109,999,000","110,633,000","105,002,000","0.45K","-1.95%"
"Nov 29, 2019","109,990,000","104,636,000","110,478,000","104,444,000","0.22K","5.31%"
"Nov 28, 2019","104,446,000","106,152,000","107,198,000","103,689,000","0.25K","-1.61%"
"Nov 27, 2019","106,152,000","102,101,000","108,010,000","97,733,000","0.34K","3.97%"
"Nov 26, 2019","102,102,000","101,544,000","104,000,000","100,410,000","0.26K","0.55%"
"Nov 25, 2019","101,544,000","99,205,000","105,154,000","94,000,000","0.53K","2.36%"
"Nov 24, 2019","99,205,000","104,850,000","104,980,000","99,082,000","0.21K","-5.28%"
"Nov 23, 2019","104,730,000","104,599,000","105,357,000","102,500,000","0.20K","0.13%"
"Nov 22, 2019","104,599,000","108,595,000","110,000,000","99,000,000","0.52K","-3.68%"
"Nov 21, 2019","108,595,000","114,713,000","115,391,000","107,500,000","0.37K","-5.33%"
"Nov 20, 2019","114,713,000","115,739,000","116,264,000","114,500,000","0.17K","-0.73%"
"Nov 19, 2019","115,559,000","116,235,000","116,600,000","114,000,000","0.19K","-0.64%"
"Nov 18, 2019","116,300,000","120,705,000","120,705,000","115,732,000","0.15K","-3.65%"
"Nov 17, 2019","120,705,000","120,450,000","121,495,000","119,883,000","0.08K","0.21%"
"Nov 16, 2019","120,449,000","120,150,000","121,264,000","120,000,000","0.07K","0.25%"
"Nov 15, 2019","120,150,000","122,577,000","123,800,000","119,838,000","0.18K","-1.98%"
"Nov 14, 2019","122,577,000","124,228,000","124,365,000","122,229,000","0.19K","-1.33%"
"Nov 13, 2019","124,227,000","124,505,000","124,676,000","123,501,000","0.09K","-0.22%"
"Nov 12, 2019","124,505,000","123,784,000","125,000,000","122,307,000","0.15K","0.58%"
"Nov 11, 2019","123,783,000","126,415,000","126,999,000","122,500,000","0.21K","-2.08%"
